index,x_mm,y_mm,z_mm
510,54.35954,-36.33819,7.51800
511,49.92204,-35.50616,7.36200
512,32.17202,-34.11943,7.51800
513,67.39471,-32.73272,7.51800
514,30.23062,-31.06865,7.51800
515,21.63295,-29.68193,7.51800
516,64.34393,-29.12724,7.51800
517,29.67593,-27.74052,7.51800
518,64.06658,-27.18583,7.51800
519,70.44550,-26.07646,7.36200
520,39.38297,-24.41240,7.36200
521,59.62908,-23.30302,7.51800
522,23.57436,-21.63896,7.51800
523,21.91030,-20.52958,7.51800
524,41.60172,-19.42020,7.36200
525,59.62908,-17.20145,7.51800
526,61.29314,-14.98270,7.51800
527,36.60953,-12.76395,7.36200
528,61.84783,-10.54520,7.51800
529,29.95327,-8.04910,7.51800
530,34.94547,-6.93972,7.51800
531,47.98063,-5.55300,7.51800
532,44.92985,-3.88894,7.36200
533,58.51970,-2.77956,7.51800
534,47.14860,-1.39284,7.51800
535,41.60172,-36.06084,7.67400
536,46.59391,-35.50616,7.67400
537,57.41033,-33.84209,7.83000
538,31.06265,-32.45537,7.83000
539,60.73846,-31.06865,7.83000
540,44.37516,-29.95927,7.67400
541,69.89081,-29.68193,7.83000
542,49.64470,-28.29521,7.83000
543,47.14860,-27.18583,7.67400
544,67.94940,-26.07646,7.83000
545,25.23842,-24.41240,7.83000
546,60.18377,-23.30302,7.83000
547,61.29314,-21.63896,7.83000
548,32.72671,-20.25224,7.83000
549,61.84783,-17.75614,7.83000
550,22.74233,-15.81473,7.83000
551,54.35954,-14.70536,7.83000
552,52.69548,-12.20926,7.67400
553,50.19938,-9.99051,7.83000
554,30.50796,-8.04910,7.83000
555,46.31657,-6.66238,7.83000
556,44.09782,-5.55300,7.83000
557,43.82047,-4.72097,7.83000
558,62.95721,-3.33425,7.83000
559,53.80486,-1.94753,7.83000
560,58.79705,0.54856,7.67400
561,56.02361,-36.33819,8.14200
562,39.10563,-33.84209,8.14200
563,32.44937,-32.73272,8.14200
564,59.62908,-32.17803,8.14200
565,30.50796,-31.06865,7.98600
566,26.90249,-29.95927,8.14200
567,61.57049,-29.40459,7.98600
568,32.72671,-28.57256,8.14200
569,67.94940,-27.74052,8.14200
570,25.23842,-26.07646,8.14200
571,44.92985,-24.96708,7.98600
572,62.67986,-24.68974,8.14200
573,21.91030,-22.74833,8.14200
574,51.86345,-21.08427,8.14200
575,22.46498,-19.42020,8.14200
576,59.90643,-17.20145,7.98600
577,57.13298,-15.53739,7.98600
578,62.40252,-13.87332,8.14200
579,39.66031,-9.99051,8.14200
580,41.32438,-8.32644,8.14200
581,34.94547,-6.93972,8.14200
